Location,2024-10-26,2024-10-27,2024-11-02,2024-11-03,2024-11-04,2024-11-05
manhattan_harlem,210,0,115,66,28,17
manhattan_midtown_east,263,0,140,64,40,27
manhattan_upperwestside,0,448,2,199,61,41
mnahtatan_tribeca,0,261,188,168,131,65
brooklyn,468,461,389,248,149,88
queens_east,68,0,42,38,13,6
queens_lic,58,38,16,21,4,5
queens_spanish,30,0,0,0,0,0
queens_forest_hills,45,0,23,14,8,7
bronx_coop_city,30,0,14,18,6,6
bronx_south,36,0,17,9,10,9
bronx_riverdale,44,0,0,0,0,0
staten_island,15,0,0,0,0,0
albany,0,113,0,0,0,0
binghamton,37,0,7,4,1,2
buffalo,53,0,32,31,15,10
rochester,86,2,70,33,17,15
westchester,169,0,122,0,0,0
Total,1612,1177,913,483,298,1323
